idx  ts_utc               event_type          event_id                                       seq                
---  -------------------  ------------------  ---------------------------------------------  -------------------
1    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372730000000
3    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372751000000
4    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372769000000
5    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372790000000
6    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372793000000
7    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372824000000
8    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372833000000
9    2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372841000000
10   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372852000000
11   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372861000000
12   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372870000000
13   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372879000000
14   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372889000000
15   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372906000000
16   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372910000000
17   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372931000000
18   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372946000000
19   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372954000000
20   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372969000000
21   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372977000000
22   2026-02-18 22:22:52  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372992000000
24   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453372999000000
25   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373011000000
26   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373039000000
27   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373071000000
28   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373092000000
29   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373120000000
30   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373152000000
31   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373185000000
32   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373211000000
33   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373222000000
34   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373230000000
35   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373239000000
36   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373257000000
38   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373263000000
39   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373272000000
40   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373286000000
41   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373296000000
42   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373309000000
43   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373319000000
44   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373330000000
45   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373342000000
46   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373350000000
47   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373383000000
48   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373412000000
49   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373421000000
50   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373434000000
51   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373446000000
52   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373467000000
53   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373500000000
54   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373533000000
56   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373571000000
57   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373581000000
58   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373594000000
59   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373608000000
60   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373621000000
61   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373631000000
62   2026-02-18 22:22:53  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373641000000
63   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373649000000
64   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373660000000
65   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373674000000
66   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373677000000
67   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373707000000
68   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373727000000
69   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373745000000
70   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373758000000
71   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373768000000
72   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373776000000
73   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373795000000
75   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373804000000
76   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373821000000
77   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373831000000
78   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373870000000
79   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373931000000
80   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373961000000
81   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453373992000000
82   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374016000000
83   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374024000000
84   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374057000000
86   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374090000000
87   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374123000000
88   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374136000000
89   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374145000000
90   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374169000000
91   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374175000000
92   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374183000000
93   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374205000000
94   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374211000000
95   2026-02-18 22:22:54  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453374219000000
96   2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375622000000
98   2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375653000000
99   2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375714000000
100  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375734000000
101  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375771000000
102  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375779000000
103  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375789000000
104  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375798000000
105  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375811000000
106  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375821000000
107  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375838000000
108  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375849000000
109  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375856000000
110  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375874000000
112  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375882000000
113  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375902000000
114  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375912000000
115  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375926000000
116  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375935000000
117  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375951000000
118  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375959000000
119  2026-02-18 22:22:55  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375968000000
120  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375980000000
121  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375990000000
122  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453375999000000
123  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376020000000
124  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376033000000
125  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376043000000
126  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376050000000
127  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376060000000
128  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376074000000
129  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376086000000
130  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376117000000
131  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376125000000
133  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376136000000
134  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376144000000
135  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376157000000
136  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376163000000
137  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376175000000
138  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376187000000
139  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376228000000
140  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376260000000
141  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376323000000
142  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376357000000
143  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376380000000
145  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376415000000
146  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376445000000
147  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376479000000
148  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376493000000
149  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376504000000
150  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376514000000
151  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376542000000
152  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376572000000
153  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376600000000
154  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376628000000
155  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376644000000
157  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376661000000
158  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376668000000
159  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376678000000
160  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376704000000
161  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376724000000
162  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376736000000
163  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376746000000
164  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376782000000
165  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376805000000
166  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376819000000
167  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376851000000
168  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376865000000
169  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376898000000
171  2026-02-18 22:22:56  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376934000000
172  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376955000000
173  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376977000000
174  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453376998000000
175  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377008000000
176  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377024000000
177  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377033000000
178  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377055000000
179  2026-02-18 22:22:57  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377066000000
180  2026-02-18 22:22:58  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377087000000
181  2026-02-18 22:22:58  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377098000000
182  2026-02-18 22:22:58  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377107000000
183  2026-02-18 22:22:58  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377129000000
184  2026-02-18 22:22:58  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377140000000
185  2026-02-18 22:22:58  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377153000000
187  2026-02-18 22:22:59  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377171000000
188  2026-02-18 22:22:59  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377215000000
189  2026-02-18 22:22:59  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377247000000
190  2026-02-18 22:22:59  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377315000000
191  2026-02-18 22:22:59  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377347000000
192  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377377000000
193  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377410000000
195  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377420000000
196  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377441000000
197  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377452000000
198  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377461000000
199  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377470000000
200  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377479000000
201  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377506000000
202  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377538000000
203  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377567000000
204  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377580000000
205  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377592000000
206  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377601000000
207  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377613000000
208  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377623000000
209  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377633000000
210  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377643000000
211  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377656000000
212  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377664000000
214  2026-02-18 22:23:00  llm.thinking.final  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377691000000
237  2026-02-18 22:23:00  llm.thinking.delta  dcce2010-8ce4-434d-a6b4-8c7fa1e72899:thinking  1771453377987000000
